Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
4_600_-3,4,600,-3,2,-0.003267308,0.008550034,0.134293596,-0.000534078,-0.009627724,0.000374374
4_600_-3,4,600,-3,3,-0.011124616,0.022004861,0.268402346,-0.001240965,-0.018715584,0.001374533
4_600_-1,4,600,-1,1,-0.00205411,-0.001699047,0.045353326,-0.000347258,-0.003902097,-0.00049878
4_600_-1,4,600,-1,2,-0.004466668,0.006820333,0.15264525,-0.000645521,-0.011375235,0.000222867
4_600_-1,4,600,-1,3,-0.011937354,0.018124621,0.292793976,-0.001487454,-0.020857446,0.001090615
12_570_-5,12,570,-5,1,-0.007285175,-0.000505841,0.040262426,-0.000714593,-0.003151939,-0.000504788
12_570_-3,12,570,-3,1,-0.007206729,-0.001326183,0.039342392,-0.000753453,-0.003486564,-0.000587841
12_570_-1,12,570,-1,1,-0.007940703,-0.002129322,0.040729641,-0.000822436,-0.003942031,-0.00070053
12_570_-5,12,570,-5,2,-0.021308868,0.009603802,0.131449297,-0.000988899,-0.009257942,0.000400578
12_570_-3,12,570,-3,2,-0.023498634,0.008138601,0.146898412,-0.001124396,-0.010695498,0.000298288
12_570_-1,12,570,-1,2,-0.026327569,0.005470883,0.16516383,-0.001266811,-0.012347576,5.78E-05
12_570_-5,12,570,-5,3,-0.045995141,0.030124248,0.272836592,-0.001849621,-0.018223045,0.001559635
12_570_-3,12,570,-3,3,-0.049453833,0.025865254,0.293644649,-0.002114382,-0.020118496,0.001176903
12_570_-1,12,570,-1,3,-0.054037751,0.019323936,0.318831118,-0.002444427,-0.022072478,0.000705488
10_570_-5,10,570,-5,1,-0.005948672,-0.000566147,0.041609213,-0.000619794,-0.003130989,-0.000461878
10_570_-3,10,570,-3,1,-0.005785156,-0.00120522,0.040795653,-0.000655078,-0.003482184,-0.000518255
10_570_-1,10,570,-1,1,-0.006301557,-0.001980525,0.041492215,-0.000718502,-0.003902719,-0.000622286
10_570_-5,10,570,-5,2,-0.016372385,0.009639612,0.12802271,-0.000851949,-0.008942763,0.000438551
10_570_-3,10,570,-3,2,-0.01809505,0.008508024,0.143777539,-0.000991518,-0.010408163,0.000363052
10_570_-1,10,570,-1,2,-0.020918478,0.005622985,0.16163616,-0.001107196,-0.012079719,0.000103338
10_570_-5,10,570,-5,3,-0.036680161,0.029814588,0.270801257,-0.001696711,-0.017973158,0.001631863
10_570_-3,10,570,-3,3,-0.039552475,0.025312223,0.291655467,-0.001935592,-0.019855127,0.00127563
10_570_-1,10,570,-1,3,-0.042673148,0.020728212,0.313678019,-0.002217098,-0.021841821,0.000807544
8_570_-5,8,570,-5,1,-0.00450574,-0.00054781,0.042206519,-0.000520664,-0.00305909,-0.000433335
8_570_-3,8,570,-3,1,-0.004374131,-0.001098275,0.0416706,-0.000546918,-0.00343885,-0.000462972
8_570_-1,8,570,-1,1,-0.00478571,-0.001766982,0.042112555,-0.000605325,-0.003871516,-0.000555077
8_570_-5,8,570,-5,2,-0.01171583,0.009749607,0.124573209,-0.000723321,-0.008648784,0.000460254
8_570_-3,8,570,-3,2,-0.012868548,0.008437633,0.140131529,-0.000831466,-0.010085707,0.000387025
8_570_-1,8,570,-1,2,-0.014979417,0.006019214,0.158210227,-0.000952702,-0.011771231,0.000156333
8_570_-5,8,570,-5,3,-0.027137246,0.027323932,0.260756621,-0.001490612,-0.017357752,0.001646794
8_570_-3,8,570,-3,3,-0.029902712,0.025397049,0.289473457,-0.001776457,-0.019592131,0.001361276
8_570_-1,8,570,-1,3,-0.032025707,0.020238724,0.308404625,-0.00201407,-0.021377048,0.000903367
6_570_-5,6,570,-5,1,-0.003222422,-0.000472692,0.043066036,-0.000422209,-0.00301182,-0.000408136
6_570_-3,6,570,-3,1,-0.003133268,-0.000867111,0.043150044,-0.000425472,-0.003398396,-0.000421752
6_570_-1,6,570,-1,1,-0.003227073,-0.001640394,0.042405499,-0.000477731,-0.003793311,-0.000503507
6_570_-5,6,570,-5,2,-0.007381393,0.009817381,0.120925641,-0.000597136,-0.008352422,0.000477607
6_570_-3,6,570,-3,2,-0.008063142,0.008716366,0.136253183,-0.000689488,-0.009799511,0.000413262
6_570_-1,6,570,-1,2,-0.009707966,0.006651224,0.154012829,-0.000815921,-0.011464859,0.000221661
6_570_-5,6,570,-5,3,-0.018756347,0.025676202,0.251018331,-0.001296431,-0.016855144,0.001643576
6_570_-3,6,570,-3,3,-0.020729769,0.024791179,0.284152995,-0.001576492,-0.019239493,0.001416676
6_570_-1,6,570,-1,3,-0.022778927,0.020126757,0.308115788,-0.001875102,-0.021283925,0.001029051
4_570_-5,4,570,-5,1,-0.00161342,-0.000491268,0.040778709,-0.000308444,-0.002801097,-0.000408605
4_570_-5,4,570,-5,2,-0.00326633,0.009675469,0.116746238,-0.000456228,-0.0080081,0.000455257
4_570_-5,4,570,-5,3,-0.011381941,0.025399252,0.245094929,-0.001109323,-0.016507609,0.001626553
4_570_-3,4,570,-3,1,-0.001647945,-0.000691685,0.043542567,-0.000294324,-0.003290364,-0.000383083
4_570_-3,4,570,-3,2,-0.003374971,0.008811723,0.13146211,-0.000535313,-0.009410845,0.000422691
4_570_-3,4,570,-3,3,-0.01182533,0.022329523,0.268984193,-0.001299168,-0.018460829,0.001436734
4_570_-1,4,570,-1,1,-0.001875605,-0.001452985,0.043660526,-0.000322517,-0.003753106,-0.000439525
4_570_-1,4,570,-1,2,-0.004598537,0.00698655,0.148724725,-0.000631274,-0.011044604,0.000262369
4_570_-1,4,570,-1,3,-0.012787061,0.019903438,0.297404472,-0.001593075,-0.020732564,0.001132626
12_540_-5,12,540,-5,1,-0.006625373,-0.000377485,0.037592814,-0.000644424,-0.002938884,-0.000440287
12_540_-3,12,540,-3,1,-0.005881568,-0.001115717,0.033895637,-0.000689376,-0.003121447,-0.000520418
12_540_-1,12,540,-1,1,-0.006065207,-0.001716945,0.032172342,-0.00075471,-0.003401771,-0.000621822
12_540_-5,12,540,-5,2,-0.020536993,0.010075673,0.127395913,-0.000943835,-0.008928543,0.000479331
12_540_-3,12,540,-3,2,-0.022722177,0.008470246,0.142173138,-0.001078061,-0.010307387,0.000358377
12_540_-1,12,540,-1,2,-0.025457621,0.005568351,0.158413334,-0.00120529,-0.011818392,9.32E-05
12_540_-5,12,540,-5,3,-0.045453914,0.030243773,0.266239569,-0.001844165,-0.017688067,0.001562878
12_540_-3,12,540,-3,3,-0.048484287,0.025955125,0.285068303,-0.002090135,-0.019402863,0.001189329
12_540_-1,12,540,-1,3,-0.052202373,0.020533423,0.307870564,-0.002367368,-0.02124099,0.000759205
10_540_-5,10,540,-5,1,-0.005659434,-0.000346977,0.040169378,-0.000557646,-0.003002305,-0.000394835
10_540_-3,10,540,-3,1,-0.005159489,-0.001003826,0.037952693,-0.000599288,-0.003263724,-0.00045391
10_540_-1,10,540,-1,1,-0.005369327,-0.001693042,0.037002997,-0.000663505,-0.003586817,-0.000552434
10_540_-5,10,540,-5,2,-0.015813681,0.010089558,0.124444354,-0.000818122,-0.008653807,0.000512929
10_540_-3,10,540,-3,2,-0.017559241,0.008567972,0.139617806,-0.000951849,-0.010073024,0.00039509
10_540_-1,10,540,-1,2,-0.020420159,0.005750235,0.156338844,-0.001055456,-0.011640019,0.000136432
10_540_-5,10,540,-5,3,-0.036535298,0.02984537,0.264819263,-0.001703075,-0.017460836,0.00163335
10_540_-3,10,540,-3,3,-0.039125419,0.025338746,0.284233488,-0.001937662,-0.019180726,0.001290267
10_540_-1,10,540,-1,3,-0.042016872,0.020696945,0.303604256,-0.002218368,-0.020949826,0.000820799
8_540_-5,8,540,-5,1,-0.00446596,-0.000188919,0.041774296,-0.000468141,-0.003001188,-0.000359112
8_540_-3,8,540,-3,1,-0.004027503,-0.000883207,0.039697784,-0.000497608,-0.003277392,-0.000402504
8_540_-1,8,540,-1,1,-0.004251083,-0.001537109,0.039291108,-0.000559604,-0.003651622,-0.000490951
8_540_-5,8,540,-5,2,-0.011326761,0.010153097,0.121397497,-0.000699127,-0.008395861,0.000530373
8_540_-3,8,540,-3,2,-0.012673988,0.008672721,0.136497017,-0.00080552,-0.009802337,0.000430056
8_540_-1,8,540,-1,2,-0.014684193,0.006130054,0.152688937,-0.000912732,-0.011326852,0.00019232
8_540_-5,8,540,-5,3,-0.028108726,0.029719689,0.262721923,-0.001569036,-0.017271844,0.001666374
8_540_-3,8,540,-3,3,-0.02980416,0.025313739,0.282058694,-0.001787006,-0.01893523,0.001369844
8_540_-1,8,540,-1,3,-0.03177074,0.020074386,0.299832844,-0.002018509,-0.020544704,0.000932066
6_540_-5,6,540,-5,1,-0.003293494,2.86E-05,0.043238397,-0.000380228,-0.003012962,-0.000325031
6_540_-3,6,540,-3,1,-0.002983226,-0.00057141,0.041993861,-0.000384897,-0.003282391,-0.000357101
6_540_-1,6,540,-1,1,-0.002985559,-0.00139641,0.040822585,-0.000441164,-0.003645592,-0.000441223
6_540_-5,6,540,-5,2,-0.007116514,0.010143041,0.118221833,-0.000585851,-0.008140214,0.000541891
6_540_-3,6,540,-3,2,-0.008201575,0.00879383,0.133314849,-0.000669081,-0.009573369,0.000441527
6_540_-1,6,540,-1,2,-0.009723854,0.006716118,0.149452424,-0.000788706,-0.011094318,0.000250243
6_540_-5,6,540,-5,3,-0.019946314,0.029245477,0.259505375,-0.001419601,-0.017069163,0.00169292
6_540_-3,6,540,-3,3,-0.021130796,0.025239201,0.279316475,-0.00163498,-0.018722325,0.00141985
6_540_-1,6,540,-1,3,-0.022880664,0.019960929,0.299686755,-0.001891749,-0.020499201,0.001044711
4_540_-5,4,540,-5,1,-0.001626493,-2.84E-05,0.040212807,-0.000273732,-0.002762411,-0.000330142
4_540_-5,4,540,-5,2,-0.003265562,0.009977287,0.11472956,-0.000457873,-0.007861053,0.00051375
4_540_-5,4,540,-5,3,-0.012356603,0.028294282,0.255270622,-0.001246242,-0.016773583,0.001707886
4_540_-3,4,540,-3,1,-0.001590119,-0.000318083,0.042862225,-0.000264311,-0.003211022,-0.000315611
4_540_-3,4,540,-3,2,-0.003655104,0.008958878,0.128968882,-0.00053396,-0.009220981,0.000456966
4_540_-3,4,540,-3,3,-0.012819218,0.02527992,0.274719839,-0.001437424,-0.018480934,0.001449089
4_540_-1,4,540,-1,1,-0.001716369,-0.001169626,0.042303377,-0.000297887,-0.003621948,-0.000379477
4_540_-1,4,540,-1,2,-0.004798623,0.007129702,0.144821275,-0.000622757,-0.010716931,0.000297849
4_540_-1,4,540,-1,3,-0.013643915,0.020275079,0.295468889,-0.001700091,-0.0202059,0.001129272
12_480_-5,12,480,-5,1,-0.018130527,0.000414555,0.085786983,-0.001209277,-0.00612555,-0.000563574
12_480_-3,12,480,-3,1,-0.013910347,-0.000411934,0.06952593,-0.000839153,-0.005195114,-0.000423217
12_480_-1,12,480,-1,1,-0.014484001,-0.00230009,0.071718985,-0.000863489,-0.005559494,-0.000576472
12_480_-5,12,480,-5,2,-0.019334016,0.010647975,0.121150812,-0.000870576,-0.008411423,0.000580974
12_480_-3,12,480,-3,2,-0.021960987,0.008855436,0.13506759,-0.00098218,-0.009716752,0.000430199
12_480_-1,12,480,-1,2,-0.024468122,0.006092132,0.14915545,-0.001095925,-0.01101006,0.000181348
12_480_-5,12,480,-5,3,-0.044416469,0.030049566,0.252323529,-0.001847909,-0.016471951,0.001540948
12_480_-3,12,480,-3,3,-0.046591311,0.025494732,0.266744153,-0.002059912,-0.017807273,0.001181824
12_480_-1,12,480,-1,3,-0.050165831,0.019888653,0.282858949,-0.002308286,-0.019040136,0.000716452
