#Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
3_480_-5,3,480,-5,3.5,-0.014642594,0.03833354,0.310033765,-0.001875609,-0.019715182,0.002249434
3_480_-4,3,480,-4,3.5,-0.014930515,0.035653019,0.319531564,-0.001974501,-0.020495585,0.002085752
3_480_-3,3,480,-3,3.5,-0.014965023,0.032547715,0.326635046,-0.002058786,-0.021125664,0.001886808
3_480_-2,3,480,-2,3.5,-0.014888942,0.029520291,0.333587126,-0.002175426,-0.021751305,0.001699744
3_480_-1,3,480,-1,3.5,-0.014701833,0.026084514,0.33967717,-0.002272203,-0.022273463,0.001483358
3_480_0,3,480,0,3.5,-0.015742567,0.022306514,0.346958496,-0.002430118,-0.023005673,0.00123206
4_480_-5,4,480,-5,3.5,-0.018980784,0.038251163,0.311380909,-0.001963318,-0.019786172,0.002202412
4_480_-4,4,480,-4,3.5,-0.019052874,0.035313286,0.318961357,-0.002037156,-0.020396391,0.002022467
4_480_-3,4,480,-3,3.5,-0.019154869,0.032579077,0.327211741,-0.0021552,-0.021121299,0.001853406
4_480_-2,4,480,-2,3.5,-0.019348129,0.029277953,0.334394392,-0.002252691,-0.021736769,0.001653576
4_480_-1,4,480,-1,3.5,-0.019761266,0.025903478,0.341258076,-0.00239639,-0.022392462,0.001445665
4_480_0,4,480,0,3.5,-0.020569183,0.021985966,0.347571885,-0.002483167,-0.022952285,0.00119539
5_480_-5,5,480,-5,3.5,-0.02337799,0.038229212,0.311874833,-0.002052317,-0.019819073,0.002164912
5_480_-4,5,480,-4,3.5,-0.023534943,0.035376952,0.319523238,-0.002137924,-0.020430536,0.001998623
5_480_-3,5,480,-3,3.5,-0.023937268,0.032518158,0.328045,-0.002271629,-0.021171414,0.001831901
5_480_-2,5,480,-2,3.5,-0.024276314,0.028964669,0.334265464,-0.002337571,-0.021724895,0.001618563
5_480_-1,5,480,-1,3.5,-0.0250663,0.025475015,0.341345593,-0.002498753,-0.022414322,0.001403
5_480_0,5,480,0,3.5,-0.026295325,0.021651718,0.348792297,-0.002561083,-0.023029385,0.00113342
0_465_-5,0,465,-5,3.5,-0.00278756,0.038528011,0.299739516,-0.001652365,-0.019184518,0.002363523
0_465_-4,0,465,-4,3.5,-0.00299117,0.036407024,0.311614483,-0.001813247,-0.020129475,0.002231965
0_465_-3,0,465,-3,3.5,-0.002948065,0.03333969,0.32026925,-0.001806017,-0.020762978,0.002022675
0_465_-2,0,465,-2,3.5,-0.003625031,0.029128216,0.327130576,-0.001887249,-0.021517258,0.001780339
0_465_-1,0,465,-1,3.5,-0.003786399,0.02626358,0.339035527,-0.002104649,-0.02254706,0.001598629
0_465_0,0,465,0,3.5,-0.004016429,0.023365989,0.341140769,-0.002087053,-0.022796583,0.001382465
1_465_-5,1,465,-5,3.5,-0.0067786,0.038591204,0.30282137,-0.001736433,-0.019274691,0.002316005
1_465_-4,1,465,-4,3.5,-0.00711459,0.03645968,0.314424927,-0.001875097,-0.020208445,0.00218285
1_465_-3,1,465,-3,3.5,-0.007277028,0.03226884,0.319322446,-0.001860619,-0.020625681,0.001932582
1_465_-2,1,465,-2,3.5,-0.007183208,0.028329719,0.325216838,-0.001939722,-0.021181452,0.001706718
