Case,Cone Angle,Omega,Pitch Angle,v_z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
5_360_0,5,360,0,5,0.0423901,0.02154814,0.4560784,-0.003673216,0.03600262,-0.00160102
10_360_0,10,360,0,5,0.08477615,0.02242586,0.4619143,-0.004008202,0.03598623,-0.001276894
0_360_5,0,360,5,5,0.00244658,-0.02652741,0.4624451,-0.003659443,0.03693095,0.002091129
20_360_0,20,360,0,5,0.1766401,0.02120517,0.4632337,-0.004835,0.03569172,-0.000651303
5_360_5,5,360,5,5,0.04459592,-0.01899294,0.478595,-0.003920356,0.03769301,0.001791333
20_360_5,20,360,5,5,0.1810098,-0.02225201,0.4832877,-0.004312852,0.03808908,0.002629213
0_360_10,0,360,10,5,0.002826723,-0.072979092,0.485656746,-0.004326931,0.038774471,0.005999515
10_360_5,10,360,5,5,0.08908884,-0.02020077,0.4873238,-0.004080343,0.03815722,0.002160833
0_480_-10,0,480,-10,5,-0.00616992,0.09349467,0.4884975,-0.001825595,0.03912048,-0.007959994
5_360_10,5,360,10,5,0.046483989,-0.065660378,0.500136169,-0.004203653,0.039547959,0.005575984
20_360_10,20,360,10,5,0.186818404,-0.069742236,0.50511999,-0.003586363,0.040574256,0.006356508
10_360_10,10,360,10,5,0.092843989,-0.067527883,0.510647789,-0.004039158,0.040150183,0.005989675
20_480_-10,20,480,-10,5,0.1950658,0.1362526,0.5382988,-0.006997694,0.04373897,-0.009390908
5_480_-10,5,480,-10,5,0.04236315,0.1283495,0.5455093,-0.003560528,0.04527557,-0.01121013
10_480_-10,10,480,-10,5,0.09439319,0.1350216,0.5619884,-0.004987295,0.04636709,-0.01095202
0_480_-5,0,480,-5,5,-0.000431003,0.06322153,0.6041646,-0.003306879,0.05001116,-0.004922916
10_480_-5,10,480,-5,5,0.1090635,0.08853173,0.6089467,-0.00480412,0.05071397,-0.006869865
5_480_-5,5,480,-5,5,0.05206478,0.09303022,0.6124008,-0.004085731,0.05117693,-0.00756223
0_480_0,0,480,0,5,4.01E-05,0.01686583,0.6331002,-0.004027259,0.05331035,-0.001588167
20_480_-5,20,480,-5,5,0.2350194,0.09829307,0.6356042,-0.007284358,0.05357107,-0.00616382
5_480_0,5,480,0,5,0.05755361,0.04105682,0.6526987,-0.00425071,0.05530321,-0.003298432
10_480_0,10,480,0,5,0.1159503,0.04293018,0.6599479,-0.004912277,0.05468048,-0.002897134
20_480_0,20,480,0,5,0.2439732,0.04455362,0.6609464,-0.006437547,0.05530281,-0.001912419
0_480_5,0,480,5,5,-0.000431537,-0.03190976,0.6866687,-0.00419883,0.05844181,0.002830339
10_480_5,10,480,5,5,0.1219456,-0.01479887,0.698224,-0.005116288,0.05778212,0.002179724
20_480_5,20,480,5,5,0.2565953,-0.01747529,0.7051596,-0.005672112,0.05940888,0.003157907
5_480_5,5,480,5,5,0.06331397,-0.01583952,0.7269361,-0.004962261,0.06037689,0.001816304
0_480_10,0,480,10,5,-0.001029601,-0.104940988,0.736900242,-0.00569956,0.061721699,0.009288432
20_480_10,20,480,10,5,0.267450683,-0.088649291,0.741096113,-0.004688601,0.063607783,0.009040031
5_480_10,5,480,10,5,0.064614824,-0.083558153,0.750279298,-0.005497897,0.062896992,0.007562396
10_480_10,10,480,10,5,0.132308369,-0.085270723,0.760752368,-0.005316694,0.063767179,0.008186545
20_360_-10,20,360,-10,2.5,0.325877829,0.161838564,0.803881652,-0.007400197,0.051026981,-0.007858775
20_360_0,20,360,0,2.5,0.351357203,0.009356729,0.890701455,-0.009701598,0.05811259,0.001699626
20_360_5,20,360,5,2.5,0.354383374,-0.069752364,0.907507246,-0.010697637,0.060997818,0.007322631
10_360_-10,10,360,-10,2.5,0.191228878,0.188903358,0.951973367,-0.008256139,0.061973455,-0.010819231
20_360_-5,20,360,-5,2.5,0.404740531,0.100958444,1.003543603,-0.010182639,0.061792173,-0.00348913
5_360_-10,5,360,-10,2.5,0.110659793,0.20367806,1.036451386,-0.008743499,0.068587334,-0.012538728
10_360_-5,10,360,-5,2.5,0.208661063,0.109826952,1.050463363,-0.009981819,0.068529796,-0.005590712
20_360_10,20,360,10,2.5,0.419338303,-0.184908181,1.067898527,-0.013583585,0.070635816,0.015850339
0_360_0,0,360,0,2.5,0.01658588,-0.004940241,1.093873905,-0.010246233,0.076733209,-9.42E-05
5_360_0,5,360,0,2.5,0.114403049,0.01087163,1.106617143,-0.010975848,0.074768508,-7.42E-05
5_360_-5,5,360,-5,2.5,0.118238615,0.115997736,1.119926477,-0.010374814,0.074371107,-0.006759159
10_360_5,10,360,5,2.5,0.222493972,-0.091492097,1.133865817,-0.012723746,0.075525202,0.007826592
5_360_5,5,360,5,2.5,0.121988937,-0.094173096,1.17163623,-0.012904273,0.079560753,0.007323276
10_360_10,10,360,10,2.5,0.239781912,-0.212637554,1.21061076,-0.014842206,0.080769187,0.016269052
10_360_0,10,360,0,2.5,0.243644112,0.006437411,1.227220635,-0.012673337,0.07923891,0.001316416
0_360_-10,0,360,-10,2.5,0.019262948,0.206633565,1.232595292,-0.009710587,0.081384945,-0.01347785
0_360_-5,0,360,-5,2.5,0.017819466,0.0971486,1.245299228,-0.010745804,0.083759697,-0.006523209
5_360_10,5,360,10,2.5,0.138791919,-0.232955899,1.295490024,-0.015643724,0.087501143,0.01681802
0_360_10,0,360,10,2.5,0.017803337,-0.256043268,1.319496187,-0.015205397,0.091961003,0.017685318
0_360_5,0,360,5,2.5,0.020345997,-0.153943297,1.468484242,-0.015549189,0.099519302,0.010211594
0_480_-10,0,480,-10,2.5,0.03865644,0.582196594,3.722203894,-0.029932104,0.253602368,-0.039248549
5_480_-10,5,480,-10,2.5,0.403734106,0.709713093,3.757912726,-0.034826821,0.249052534,-0.042546469
20_480_10,20,480,10,2.5,1.580387336,-0.786641395,3.955733006,-0.053468487,0.240573745,0.061622314
20_480_0,20,480,0,2.5,1.587786312,-0.061277883,3.967452816,-0.045904561,0.236761591,0.013836521
10_480_-5,10,480,-5,2.5,0.819873239,0.367138891,3.974682272,-0.040848054,0.256210973,-0.017143164
5_480_0,5,480,0,2.5,0.412762448,-0.023986896,4.005598028,-0.041400721,0.269930986,0.003931756
5_480_10,5,480,10,2.5,0.424846207,-0.795057252,4.025575954,-0.051790683,0.269994801,0.055900285
20_480_-10,20,480,-10,2.5,1.684209518,0.747561311,4.04946588,-0.038500084,0.235938183,-0.030560679
20_480_-5,20,480,-5,2.5,1.676447978,0.35601026,4.116642902,-0.043288855,0.240848441,-0.009139025
10_480_10,10,480,10,2.5,0.824450922,-0.800321064,4.11984197,-0.054202853,0.270197066,0.059298437
0_480_10,0,480,10,2.5,0.044390188,-0.867076349,4.133622202,-0.050622503,0.289690132,0.058537638
20_480_5,20,480,5,2.5,1.671689298,-0.453628775,4.159620446,-0.052077654,0.24660758,0.038493695
10_480_5,10,480,5,2.5,0.836752066,-0.410716504,4.182840022,-0.050495968,0.270364373,0.032611688
10_480_0,10,480,0,2.5,0.840190642,-0.021662912,4.216070158,-0.046674792,0.271043952,0.007267484
10_480_-10,10,480,-10,2.5,0.910534267,0.825581056,4.290623832,-0.040323062,0.270125763,-0.042365629
0_480_-5,0,480,-5,2.5,0.05095932,0.311064129,4.352492772,-0.042159709,0.295716866,-0.022106104
5_480_-5,5,480,-5,2.5,0.467227536,0.404012243,4.367396748,-0.044686366,0.289371532,-0.023080491
5_480_5,5,480,5,2.5,0.453762343,-0.406248375,4.37317084,-0.052956354,0.295584245,0.030096961
0_480_0,0,480,0,2.5,0.06867509,-0.078771674,4.492911688,-0.047002058,0.310287988,0.003384726
0_480_5,0,480,5,2.5,0.046127075,-0.57448492,4.621874112,-0.049860725,0.317678185,0.037400588
#Case,Cone Angle,Omega,Pitch Angle,5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#Case,Cone Angle,Omega,Pitch Angle,5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#Case,Cone Angle,Omega,Pitch Angle,5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#Case,Cone Angle,Omega,Pitch Angle,5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
# Case,Cone Angle,Omega,Pitch Angle,v_z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
#,Cone Angle,Omega,Pitch Angle,2.5,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
