Case,Cone_Angle,Omega_RPM,Pitch_Angle,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Vz_ms,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f)
5_150.0_-3,5,150,-3,2000,-0.003299161,0.003519516,0.037977106,-0.000293366,-0.002355417,0.000200813,1.25,1.477095,1.164549,-0.2089355,2.061983,-2.270919,2.166451,0.1562732,-0.2641036,-0.2254868,-0.376847,0.1513602
5_160_-3,5,160,-3,2000,-0.008927057,0.006630255,0.076266324,-0.000720199,-0.003834165,0.000224305,2,1.100753,0.9620987,-0.2332103,1.255287,-1.488497,1.371892,0.06932737,-0.2557144,-0.1758408,-0.3436348,0.167794
5_165.0_-3,5,165,-3,2000,-0.014194216,0.007636899,0.114900579,-0.001189184,-0.005359157,0.000237384,2.75,0.8602037,0.7807085,-0.200784,0.9120243,-1.112808,1.012416,0.03974759,-0.2237587,-0.1076251,-0.2775712,0.1699462
5_168.75_-3,5,168.75,-3,2000,-0.003160185,0.00399297,0.04095824,-0.000281459,-0.002629061,0.000223926,1.25,1.598437,1.251232,-0.1970649,2.319895,-2.51696,2.418427,0.1736022,-0.2527161,-0.2570585,-0.3812453,0.1241868
5_170_-3,5,170,-3,2000,-0.002001823,0.002759647,0.029594679,-0.00016784,-0.001979283,0.000153198,1,1.777798,1.446034,-0.1908135,2.755946,-2.94676,2.851353,0.1658824,-0.2325495,-0.2664574,-0.3657782,0.09932084
5_175.0_-3,5,175,-3,2000,-0.007370453,0.006633995,0.07103113,-0.000594658,-0.004040919,0.000330816,1.75,1.396121,1.11697,-0.2459483,1.767765,-2.013713,1.890739,0.1395756,-0.27499,-0.2272806,-0.3886303,0.1613497
5_175_-3,5,175,-3,2000,-0.001995021,0.002771194,0.030063618,-0.000166704,-0.00201833,0.000153749,1,1.801406,1.473827,-0.1900148,2.812939,-3.002954,2.907946,0.1637897,-0.2305752,-0.2656783,-0.3634143,0.09773603
5_180.0_-3,5,180,-3,2000,-0.004737582,0.005079486,0.054901644,-0.000425182,-0.003405722,0.000289409,1.5,1.483565,1.16555,-0.2103159,2.067918,-2.278234,2.173076,0.1590076,-0.2660825,-0.2278077,-0.3799863,0.1521786
5_180_-3,5,180,-3,2000,-0.016890354,0.009088087,0.136792612,-0.001416252,-0.006381077,0.000281501,3,0.8604227,0.7807777,-0.2008271,0.9123075,-1.113135,1.012721,0.03982249,-0.223918,-0.1076703,-0.2777531,0.1700829
5_180.0_-3,5,180,-3,2000,-0.01128905,0.008374758,0.096642167,-0.000913405,-0.004857686,0.000283679,2.25,1.102213,0.9623264,-0.2334955,1.256025,-1.489521,1.372773,0.06994323,-0.2562719,-0.175674,-0.3441089,0.1684349
5_180_-3,5,180,-3,2000,-0.001995579,0.002749433,0.030487571,-0.000166149,-0.002052025,0.000153325,1,1.820839,1.500802,-0.190239,2.861798,-3.052037,2.956917,0.1600186,-0.2294304,-0.2612403,-0.3600505,0.09881024
5_182.5_-3,5,182.5,-3,2000,-0.001988985,0.002740889,0.030686695,-0.000165289,-0.002068695,0.000153294,1,1.830151,1.513343,-0.1896533,2.886316,-3.075969,2.981143,0.1584042,-0.2280129,-0.2591274,-0.3575766,0.09844919
5_185_-3,5,185,-3,2000,-0.001979583,0.002732826,0.03087012,-0.000164004,-0.002084601,0.000153316,1,1.838734,1.524929,-0.1887994,2.909863,-3.098663,3.004263,0.1569024,-0.2259872,-0.2570454,-0.3545099,0.09746446
5_187.5_-3,5,187.5,-3,2000,-0.001962234,0.002712695,0.030996928,-0.000162147,-0.002097774,0.000153368,1,1.844292,1.533442,-0.187172,2.92991,-3.117082,3.023496,0.155425,-0.2231386,-0.2534941,-0.3498856,0.09639158
5_187.5_-3,5,187.5,-3,2000,-0.003130251,0.004230936,0.043519343,-0.000273942,-0.002854072,0.000235076,1.25,1.692019,1.336287,-0.1944528,2.528896,-2.723349,2.626123,0.1778658,-0.2450579,-0.2706171,-0.3803665,0.1097494
5_190_-3,5,190,-3,2000,-0.00190321,0.00251699,0.030516603,-0.000154621,-0.002078654,0.000153026,1,1.815526,1.510572,-0.1820718,2.905877,-3.087949,2.996913,0.1524768,-0.2120983,-0.2298057,-0.3270011,0.09719543
5_192.5_-3,5,192.5,-3,2000,-0.001868885,0.002414652,0.030065706,-0.000149765,-0.002069969,0.00015114,1,1.786025,1.491375,-0.1788267,2.895594,-3.074421,2.985008,0.1473255,-0.2049738,-0.2184964,-0.314222,0.0957256
5_195_-3,5,195,-3,2000,-0.001850443,0.002390435,0.029967921,-0.000147942,-0.002076441,0.000149051,1,1.775731,1.491314,-0.1771501,2.906068,-3.083218,2.994643,0.1422084,-0.2021563,-0.2148054,-0.309559,0.09475358
5_200_-3,5,200,-3,2000,-0.009609803,0.008663196,0.092982266,-0.000778975,-0.005290852,0.000433494,2,1.399722,1.11757,-0.2464502,1.771098,-2.017548,1.894323,0.1410759,-0.2758692,-0.2277006,-0.3897195,0.1620189
5_200_-3,5,200,-3,2000,-0.001828587,0.002367011,0.030018823,-0.000145452,-0.00209518,0.000145553,1,1.76997,1.50294,-0.1755498,2.93432,-3.10987,3.022095,0.1335147,-0.1981889,-0.2099889,-0.3031834,0.09319442
5_200.0_-3,5,200,-3,2000,-0.013928133,0.010324294,0.119424012,-0.001129608,-0.006002265,0.000350204,2.5,1.1034,0.9624001,-0.233732,1.256611,-1.490343,1.373477,0.07049992,-0.2567341,-0.1755663,-0.3445172,0.1689509
5_202.5_-3,5,202.5,-3,2000,-0.004521148,0.005763437,0.059170939,-0.000407898,-0.003799061,0.000323375,1.5,1.604974,1.250755,-0.1979601,2.325324,-2.523284,2.424304,0.1771098,-0.2546387,-0.2594937,-0.3843855,0.1248918
5_205_-3,5,205,-3,1996,-0.001816577,0.002348158,0.030174045,-0.000143897,-0.002116232,0.000142518,1,1.770661,1.519365,-0.1749641,2.965327,-3.140292,3.052809,0.1256478,-0.1955734,-0.2057009,-0.2984238,0.09272291
5_210.0_-3,5,210,-3,2000,-0.006437661,0.006932989,0.074951156,-0.000581708,-0.004650588,0.000394703,1.75,1.488764,1.166065,-0.2114046,2.072659,-2.284064,2.178362,0.1613494,-0.2676626,-0.229841,-0.3825831,0.1527422
5_210_-3,5,210,-3,1916,-0.001809835,0.002332136,0.030373961,-0.000142822,-0.002138611,0.00013972,1,1.774083,1.537883,-0.1749255,2.997947,-3.172873,3.08541,0.1181,-0.1936403,-0.2016905,-0.2944855,0.09279504
5_212.5_-3,5,212.5,-3,2000,-0.003094725,0.004330786,0.046411715,-0.000265333,-0.003104402,0.000240298,1.25,1.787973,1.442517,-0.1922086,2.761626,-2.953835,2.85773,0.1727282,-0.2359696,-0.2714034,-0.3716713,0.1002679
5_218.75_-3,5,218.75,-3,2000,-0.003088413,0.004339574,0.047128915,-0.000264039,-0.003163483,0.000240933,1.25,1.811011,1.469649,-0.1917652,2.816547,-3.008312,2.91243,0.1706811,-0.2344742,-0.2702525,-0.3696005,0.09934796
5_220.0_-3,5,220,-3,2000,-0.016844888,0.012478785,0.144610377,-0.001368805,-0.007267934,0.000423969,2.75,1.104392,0.9623581,-0.2339382,1.257089,-1.491027,1.374058,0.0710168,-0.2571223,-0.1754936,-0.3448691,0.1693755
5_225.0_-3,5,225,-3,2000,-0.003079518,0.004316956,0.047786426,-0.000262671,-0.003217487,0.000240752,1.25,1.831014,1.495638,-0.191311,2.86686,-3.058171,2.962516,0.167688,-0.232897,-0.2667265,-0.3662602,0.09953372
5_225.0_-3,5,225,-3,2000,-0.004471425,0.006117449,0.062870016,-0.000397359,-0.00412384,0.000339982,1.5,1.699595,1.335065,-0.1951172,2.534625,-2.729742,2.632184,0.1822645,-0.2472258,-0.2738178,-0.3841347,0.1103169
5_225_-3,5,225,-3,1842,-0.001795581,0.002280238,0.031004721,-0.000141294,-0.002202277,0.00013145,1,1.785809,1.595252,-0.1755525,3.090465,-3.266017,3.178241,0.09527841,-0.1902295,-0.1889779,-0.2847184,0.0957405
