Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
3_180_-1,3,180,-1,1,-0.001134699,0.002134942,0.032281235,-0.000171039,-0.002201361,0.000116508,3.508183,-0.09294338,3.161412,0.102049,-0.2362519,-0.1911953
7_240_-3,7,240,-3,1,-0.002781611,0.00219673,0.032238501,-0.00016705,-0.002301459,0.000120834,3.517167,-0.285692,3.323751,0.06901903,-0.2217985,-0.1713825
9_225_-3,9,225,-3,1,-0.003831977,0.002237078,0.032183711,-0.000192803,-0.002289286,0.000122871,3.511522,-0.3980578,3.305254,0.08378696,-0.2567542,-0.1822785
1_195_0,-1,195,0,1,0.00062172,0.00173711,0.032165309,-0.00011563,-0.002317994,0.000103376,3.484404,0.1005266,3.31598,0.07039071,-0.1589988,-0.141506
3_270_-3,3,270,-3,1,-0.000754635,0.002172491,0.032056115,-0.000109848,-0.002304812,0.00010759,3.496444,-0.06856879,3.329395,0.02664834,-0.1460905,-0.1565703
1_180_-1,1,180,-1,1,-0.000339056,0.002248507,0.03203602,-0.000138173,-0.002217001,0.000125244,3.477084,-0.002086845,3.178485,0.1162812,-0.1912519,-0.204701
3_150_3,3,150,3,1,-0.001573206,0.000648627,0.032031523,-0.000213819,-0.002201408,8.88E-06,3.471913,-0.130837,3.148497,-0.0357968,-0.295417,-0.03897071
3_195_-1,3,195,-1,1,-0.001016919,0.001878284,0.03198897,-0.000150645,-0.002253337,0.000115925,3.477793,-0.08228413,3.237895,0.08968867,-0.20606,-0.1557764
11_210_-3,11,210,-3,1,-0.00487978,0.002298982,0.03196988,-0.000212488,-0.002256156,0.000124901,3.489338,-0.5099025,3.257309,0.09854065,-0.2839909,-0.1955481
11_135_5,11,135,5,1,-0.005666513,-0.000569494,0.031870744,-0.000296592,-0.00209744,-0.000102,3.467152,-0.5763621,3.005756,-0.1832246,-0.4100483,0.08680052
1_210_-1,1,210,-1,1,-0.000157502,0.001951637,0.031866622,-0.000108309,-0.002312841,0.000111107,3.460839,0.0131299,3.318888,0.07107552,-0.1474631,-0.1572628
1_300_-3,1,300,-3,1,0.000254149,0.002084926,0.031832038,-5.76E-05,-0.002296312,8.70E-05,3.474568,0.03968047,3.320876,-0.02722058,-0.07494178,-0.132662
3_175_-1,3,175,-1,1,-0.001151916,0.002189832,0.031828527,-0.000171044,-0.002164389,0.000117534,3.458843,-0.09466437,3.107979,0.1070197,-0.236593,-0.1996304
1_150_3,1,150,3,1,-0.000610608,0.000640986,0.031764537,-0.000193268,-0.00218893,8.49E-06,3.438756,-0.02500502,3.126648,-0.03194175,-0.268024,-0.0427004
5_240_-3,5,240,-3,1,-0.001777008,0.002228372,0.031641378,-0.000141764,-0.002259779,0.000123041,3.450842,-0.1758255,3.262413,0.07185099,-0.1896082,-0.1759668
9_285_-5,9,285,-5,1,-0.003663888,0.002467532,0.031613075,-0.000200401,-0.002201398,0.00011918,3.45922,-0.3977649,3.199354,0.0222142,-0.2581321,-0.1701169
11_270_-5,11,270,-5,1,-0.00471818,0.002547742,0.03156355,-0.000224205,-0.002208238,0.000127884,3.452536,-0.5094135,3.206389,0.04860211,-0.2893386,-0.1862087
7_225_-3,7,225,-3,1,-0.002769384,0.002253009,0.031541118,-0.000163709,-0.002237896,0.000128731,3.44107,-0.2821459,3.231021,0.09170448,-0.2187742,-0.1849847
9_210_-3,9,210,-3,1,-0.003788188,0.002305497,0.031462399,-0.0001894,-0.002216346,0.000131444,3.433192,-0.3911795,3.199484,0.1069576,-0.253981,-0.1969246
9_135_5,9,135,5,1,-0.004586538,-0.000544748,0.031454974,-0.000277253,-0.002068615,-8.61E-05,3.418023,-0.4607183,2.962356,-0.1611416,-0.3832437,0.08394657
3_255_-3,3,255,-3,1,-0.000829593,0.002191034,0.031441833,-0.00010772,-0.0022537,0.000113912,3.428316,-0.07431994,3.253378,0.04813358,-0.144106,-0.1666501
1_175_-1,1,175,-1,1,-0.000367949,0.002172169,0.031426038,-0.000142376,-0.002164189,0.000124135,3.41065,-0.005968803,3.102688,0.117048,-0.1974288,-0.1976225
11_180_-3,11,180,-3,1,-0.004976801,0.002730043,0.03142156,-0.000217152,-0.002120958,0.000134218,3.429533,-0.5154492,3.060214,0.1329574,-0.2955975,-0.256505
7_300_-5,7,300,-5,1,-0.002604584,0.002368832,0.031402848,-0.000170308,-0.002176515,0.000107264,3.437995,-0.2854706,3.166439,-0.007716924,-0.2188408,-0.1527968
1_195_-1,1,195,-1,1,-0.000243353,0.001944647,0.031362786,-0.000117637,-0.002239724,0.00012025,3.405317,0.005387837,3.212882,0.09563192,-0.1613933,-0.1638083
5_210_1,-5,210,1,1,0.003192021,0.001033706,0.031345666,-6.25E-05,-0.002325019,3.42E-05,3.38938,0.368981,3.319838,-0.03280847,-0.08986854,-0.06759508
10_195_5,-10,195,5,1,0.006203691,-0.000885596,0.031340751,-5.36E-05,-0.002347257,-0.000106049,3.377398,0.6927574,3.337888,-0.2096709,-0.07935662,0.1198668
1_180_-1,-1,180,-1,1,0.000461481,0.002449888,0.031318816,-0.000118308,-0.002196235,0.00014449,3.39537,0.08290237,3.144727,0.1420138,-0.1646682,-0.2254308
