Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
9_500_0,9,5.000000e+02,0,4.000000e+00,2000,-7.537416e-02,3.543301e-02,4.337715e-01,-3.523803e-03,-2.835287e-02,1.842568e-03,2.935223e+00,1.609234e+00,1.325990e+00,-4.812610e-01,2.289393e+00,-2.770654e+00,2.530023e+00,1.416220e-01,-3.079497e-01,-2.274562e-01,-4.216778e-01,1.942216e-01
9_525_-2,9,5.250000e+02,-2,4.000000e+00,2000,-7.199007e-02,4.816720e-02,4.244284e-01,-3.323686e-03,-2.801057e-02,2.750171e-03,2.872971e+00,1.656424e+00,1.216547e+00,-4.588961e-01,2.271578e+00,-2.730474e+00,2.501026e+00,2.199383e-01,-2.894547e-01,-3.098463e-01,-4.443778e-01,1.345315e-01
9_525_-1,9,5.250000e+02,-1,4.000000e+00,2000,-7.416950e-02,4.286466e-02,4.349597e-01,-3.441309e-03,-2.880159e-02,2.362507e-03,2.943787e+00,1.657554e+00,1.286233e+00,-4.729430e-01,2.334462e+00,-2.807405e+00,2.570934e+00,1.856603e-01,-3.000146e-01,-2.753339e-01,-4.376816e-01,1.623476e-01
9_525_0,9,5.250000e+02,0,4.000000e+00,2000,-7.587033e-02,3.712870e-02,4.457000e-01,-3.565383e-03,-2.953864e-02,1.977808e-03,3.016135e+00,1.659864e+00,1.356272e+00,-4.838898e-01,2.394311e+00,-2.878201e+00,2.636256e+00,1.517959e-01,-3.111716e-01,-2.376085e-01,-4.299759e-01,1.923674e-01
9_550_-2,9,5.500000e+02,-2,4.000000e+00,2000,-7.191037e-02,5.050465e-02,4.363134e-01,-3.343404e-03,-2.910854e-02,2.929309e-03,2.953840e+00,1.710465e+00,1.243374e+00,-4.570956e-01,2.370927e+00,-2.828022e+00,2.599474e+00,2.335457e-01,-2.906327e-01,-3.236693e-01,-4.524673e-01,1.287980e-01
9_550_-1,9,5.500000e+02,-1,4.000000e+00,2000,-7.420867e-02,4.496777e-02,4.470158e-01,-3.472003e-03,-2.996164e-02,2.528294e-03,3.025743e+00,1.711138e+00,1.314605e+00,-4.721217e-01,2.438837e+00,-2.910959e+00,2.674898e+00,1.982668e-01,-3.021903e-01,-2.875404e-01,-4.459605e-01,1.584201e-01
9_550_0,9,5.500000e+02,0,4.000000e+00,2000,-7.626195e-02,3.901067e-02,4.582912e-01,-3.595443e-03,-3.073060e-02,2.121117e-03,3.101637e+00,1.713268e+00,1.388369e+00,-4.855872e-01,2.500242e+00,-2.985830e+00,2.743036e+00,1.624496e-01,-3.133210e-01,-2.486312e-01,-4.376366e-01,1.890054e-01
7_400_-2,7,4.000000e+02,-2,3.500000e+00,2000,-4.505596e-02,3.087181e-02,3.063544e-01,-2.373474e-03,-1.916044e-02,1.760023e-03,2.706615e+00,1.538184e+00,1.168431e+00,-3.733551e-01,2.047043e+00,-2.420398e+00,2.233721e+00,1.848764e-01,-2.715695e-01,-2.616892e-01,-4.024141e-01,1.407249e-01
7_400_-1,7,4.000000e+02,-1,3.500000e+00,2000,-4.591421e-02,2.706668e-02,3.133641e-01,-2.509725e-03,-1.973522e-02,1.506866e-03,2.768472e+00,1.539016e+00,1.229455e+00,-3.794909e-01,2.110471e+00,-2.489962e+00,2.300217e+00,1.547806e-01,-2.873498e-01,-2.282242e-01,-4.014619e-01,1.732377e-01
7_400_0,7,4.000000e+02,0,3.500000e+00,2000,-4.671870e-02,2.277833e-02,3.206116e-01,-2.594350e-03,-2.027689e-02,1.213560e-03,2.831783e+00,1.537252e+00,1.294530e+00,-3.862709e-01,2.168985e+00,-2.555256e+00,2.362121e+00,1.213610e-01,-2.972276e-01,-1.913891e-01,-3.929221e-01,2.015330e-01
