# Case,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_360_-5,0,360,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_-5,10,360,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_-10,5,300,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_0,5,240,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_5,0,360,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_-10,5,420,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_5,0,300,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_0,0,180,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_-5,5,240,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_0,10,300,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_5,5,180,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_-5,0,180,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_-10,10,420,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_-10,0,240,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_-5,5,360,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_-5,0,240,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_0,0,240,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_240_0,10,240,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_5,10,180,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_-5,5,300,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_-10,5,240,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_-10,0,300,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_5,10,360,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_0,0,360,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_0,5,360,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_-10,5,180,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_240_-5,10,240,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
