Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
5_540_10,5,540,10,1,-0.005034844,-0.02228995,0.076190582,-0.000456992,-0.00768186,-0.002458083
5_180_0,5,180,0,1,-0.00197561,0.001402303,0.034247768,-0.000197548,-0.002360774,3.81E-05
10_630_0,10,630,0,1,-0.009923285,-0.007752525,0.057413647,-0.000748805,-0.005132122,-0.001318714
0_270_0,0,270,0,1,0.001158117,0.000958479,0.035461816,-8.25E-05,-0.002678835,-1.61E-05
5_660_5,5,660,5,1,-0.007366818,-0.018114904,0.081786012,-0.00042544,-0.007314454,-0.002193073
0_540_-5,0,540,-5,1,-0.000130875,-0.003530953,0.031713197,-2.49E-05,-0.002109076,-0.000719282
5_210_10,5,210,10,1,-0.002785224,-0.005170301,0.049738862,-0.000272123,-0.003736043,-0.000526916
10_540_5,10,540,5,1,-0.008197263,-0.011744584,0.048115737,-0.000610752,-0.005306175,-0.001610005
10_330_5,10,330,5,1,-0.002960147,-0.004545642,0.022451922,-0.000409654,-0.002854371,-0.00068485
10_360_10,10,360,10,1,-0.599753911,-0.677259755,3.184856595,-0.04536769,-0.24560933,-0.066016494
5_600_-5,5,600,-5,1,-0.002925733,-0.003613742,0.043661776,-0.000399294,-0.003057929,-0.000827616
10_270_0,10,270,0,1,-0.005280081,7.66E-05,0.041345122,-0.000253321,-0.003110688,-0.000107058
5_180_10,5,180,10,1,-0.002671729,-0.00445636,0.044299153,-0.000269813,-0.003198117,-0.000424938
5_300_5,5,300,5,1,-0.002761831,-0.003194452,0.055148782,-0.000209354,-0.004305124,-0.000414798
5_240_10,5,240,10,1,-0.002776467,-0.006039219,0.053978898,-0.000250862,-0.004188026,-0.000626499
5_630_-5,5,630,-5,1,-0.002999081,-0.004229337,0.044708275,-0.00044114,-0.003134358,-0.00093423
0_540_10,0,540,10,1,0.00229262,-0.020824917,0.07684625,-0.000173645,-0.007591647,-0.002223319
0_420_-5,0,420,-5,1,0.000249776,-0.000666317,0.030303412,-6.69E-06,-0.002053789,-0.00032005
10_180_-5,10,180,-5,1,-0.00399271,0.003021635,0.029693787,-0.000208512,-0.001963364,0.000136309
0_480_0,0,480,0,1,0.001410359,-0.002316157,0.045710588,8.74E-06,-0.003664189,-0.000461365
10_660_-5,10,660,-5,1,-0.008102086,-0.004292608,0.050371627,-0.000799276,-0.003744155,-0.001063887
5_480_-5,5,480,-5,1,-0.002717876,-0.001002329,0.041576087,-0.000253919,-0.00289239,-0.000417085
0_330_5,0,330,5,1,0.001518756,-0.004109255,0.043778512,-9.76E-05,-0.00380986,-0.000517119
10_420_0,10,420,0,1,-0.003590397,-0.003522671,0.028901659,-0.000398961,-0.002658512,-0.00058366
0_420_5,0,420,5,1,0.00152133,-0.006904264,0.044533882,-0.000109285,-0.004362277,-0.000833932
10_360_0,10,360,0,1,-0.003279334,-0.002453564,0.028763485,-0.000366548,-0.002753514,-0.000434899
5_240_5,5,240,5,1,-0.002320077,-0.001911896,0.044834202,-0.00019925,-0.003466519,-0.00026033
10_270_-5,10,270,-5,1,-0.004146744,0.001774737,0.031856271,-0.000223908,-0.002227529,3.47E-05
10_300_-5,10,300,-5,1,-0.004471869,0.001415277,0.033782652,-0.000242665,-0.002381656,-1.88E-05
0_210_10,0,210,10,1,0.001083017,-0.005157945,0.04715774,-0.000239919,-0.003533555,-0.000508044
0_210_5,0,210,5,1,0.000771738,-0.001452571,0.039753896,-0.000147266,-0.002996427,-0.000190476
10_210_-5,10,210,-5,1,-0.003879665,0.00235298,0.029467675,-0.000197154,-0.002028075,0.000108639
5_660_-5,5,660,-5,1,-0.003086769,-0.004844694,0.045985273,-0.000484567,-0.003228482,-0.001043536
10_420_5,10,420,5,1,-0.05482303,-0.042705337,0.296946198,-0.004076383,-0.023217266,-0.004723196
0_540_5,0,540,5,1,0.001589477,-0.011069934,0.054752969,-8.98E-05,-0.005358408,-0.001314344
5_270_10,5,270,10,1,-0.003077723,-0.007459171,0.060947295,-0.000269454,-0.004762676,-0.000761865
5_420_-5,5,420,-5,1,-0.00222558,-0.000169763,0.037327851,-0.000200355,-0.002610985,-0.000264813
10_480_0,10,480,0,1,-0.005352193,-0.00451204,0.038172823,-0.000471671,-0.003410225,-0.00075332
5_270_0,5,270,0,1,-0.001926984,0.000370758,0.039253194,-0.000171198,-0.002950753,-7.48E-05
5_330_0,5,330,0,1,-0.001687775,-0.000755086,0.038290105,-0.000194267,-0.003048805,-0.00020696
5_210_5,5,210,5,1,-0.002418723,-0.001260801,0.042949372,-0.000227403,-0.003172135,-0.00020779
10_240_5,10,240,5,1,-0.006018301,-0.002380912,0.04671068,-0.000255491,-0.00361149,-0.000303812
10_420_10,10,420,10,1,-0.566298225,-0.649755785,2.987196256,-0.042705447,-0.232682607,-0.063614561
